date,code,name,score_ml,total_score,max_score,market_state,track
2025-11-07,000552,,13,57,115,strong,0
2025-11-11,002601,,14,76,115,strong,0
2025-11-11,600160,,14,55,115,strong,0
2025-11-12,002200,,14,67,115,choppy,0
2025-11-12,600160,,14,57,115,choppy,0
2025-11-13,002145,,13,61,115,strong,0
2025-11-13,600123,,14,61,115,strong,0
2025-11-13,600160,,14,59,115,strong,0
2025-11-14,002938,,14,80,115,strong,0
2025-11-14,300121,,14,78,115,strong,0
2025-11-14,002136,,11,85,115,strong,0
2025-11-14,688146,,14,77,115,strong,0
2025-11-14,600745,,14,80,115,strong,0
2025-11-14,600873,,10,75,115,strong,0
2025-11-14,300118,,12,85,115,strong,0
2025-11-14,603389,,14,88,115,strong,0
2025-11-14,688127,,14,80,115,strong,0
2025-11-14,300666,,14,90,115,strong,0
2025-11-14,603678,,14,75,115,strong,0
2025-11-14,600759,,14,76,115,strong,0
2025-11-14,300975,,13,74,115,strong,0
2025-11-14,002409,,14,79,115,strong,0
2025-11-14,002001,,14,92,115,strong,0
2025-11-14,600378,,14,79,115,strong,0
2025-11-14,603078,,14,96,115,strong,0
2025-11-14,002384,,14,95,115,strong,0
2025-11-24,600764,,14,77,115,strong,0
2025-11-26,000078,,14,64,115,strong,0
2025-11-27,002429,,14,75,115,strong,0
2025-12-01,002446,,10,71,115,strong,0
2025-12-01,600879,,14,75,115,strong,0
2025-12-01,000960,,14,78,115,strong,0
2025-12-01,301169,,14,79,115,strong,0
2025-12-02,601899,,14,62,115,strong,0
2025-12-02,600851,,13,69,115,strong,0
2025-12-03,601168,,13,74,115,strong,0
2025-12-04,688313,,14,85,115,strong,0
2025-12-04,002925,,13,76,115,strong,0
2025-12-05,301169,,14,79,115,strong,0
2025-12-09,300308,,13,91,115,strong,0
2025-12-10,600221,,14,58,115,strong,0
2025-12-10,600869,,14,60,115,strong,0
2025-12-11,601869,,13,67,115,strong,0
2025-12-12,300285,,14,94,115,strong,0
2025-12-15,002669,,10,69,115,strong,0
