date,code,name,score_ml,total_score,max_score,market_state,signal_tier
2023-08-03,000958,,14,70,115,strong,1
2023-08-03,600109,,14,94,115,strong,1
2023-08-03,000060,,14,64,115,strong,1
2023-08-03,000878,,14,82,115,strong,1
2023-08-03,002314,,14,77,115,strong,1
2023-08-03,600162,,14,74,115,strong,1
2023-08-03,002678,,14,71,115,strong,1
2023-08-03,002200,,14,77,115,strong,1
2023-08-03,002431,,14,64,115,strong,1
2023-08-03,600340,,14,75,115,strong,1
2023-08-03,300119,,15,66,115,strong,1
2023-08-03,600082,,14,68,115,strong,1
2023-08-03,002432,,14,56,115,strong,1
2023-08-03,600717,,14,68,115,strong,1
2023-08-03,600800,,14,68,115,strong,1
2023-08-03,001219,,8,58,115,strong,0
2023-08-03,002608,,14,59,115,strong,0
2023-08-04,600109,,14,95,115,strong,1
2023-08-04,601108,,14,89,115,strong,1
2023-08-04,600119,,14,65,115,strong,1
2023-08-04,001979,,14,88,115,strong,1
2023-08-04,600708,,14,77,115,strong,1
2023-08-04,002305,,14,69,115,strong,1
2023-08-04,000056,,14,66,115,strong,1
2023-08-04,600376,,14,94,115,strong,1
2023-08-04,000055,,14,59,115,strong,1
2023-08-04,002314,,14,70,115,strong,1
2023-08-04,002678,,14,70,115,strong,1
2023-08-04,002200,,14,78,115,strong,1
2023-08-04,002431,,14,63,115,strong,1
2023-08-04,600340,,14,73,115,strong,1
2023-08-04,000062,,14,77,115,strong,1
2023-08-07,601212,,14,63,115,strong,1
2023-08-07,600595,,14,91,115,strong,1
2023-08-07,601995,,14,94,115,strong,1
2023-08-07,000958,,14,64,115,strong,1
2023-08-07,600119,,14,61,115,strong,1
2023-08-07,001979,,14,88,115,strong,1
2023-08-07,600708,,14,71,115,strong,1
2023-08-07,002305,,14,64,115,strong,1
2023-08-07,000056,,14,63,115,strong,1
2023-08-07,600376,,14,87,115,strong,1
2023-08-07,000062,,14,76,115,strong,1
2023-08-07,301236,,14,63,115,strong,1
2023-08-07,600797,,14,63,115,strong,1
2023-08-07,000720,,14,56,115,strong,1
2023-08-07,002314,,14,64,115,strong,1
2023-08-07,000632,,14,58,115,strong,1
2023-08-07,000998,,10,56,115,strong,0
2023-08-08,000958,,14,63,115,strong,1
2023-08-08,600119,,14,58,115,strong,1
2023-08-08,001979,,14,84,115,strong,1
2023-08-08,603682,,14,58,115,strong,1
2023-08-08,002305,,14,60,115,strong,1
2023-08-08,000056,,14,59,115,strong,1
2023-08-08,600376,,14,78,115,strong,1
2023-08-08,600595,,14,79,115,strong,1
2023-08-08,000062,,14,65,115,strong,1
2023-08-08,301236,,14,63,115,strong,1
2023-08-08,600797,,14,63,115,strong,1
2023-08-08,000055,,14,56,115,strong,1
2023-08-08,000007,,14,62,115,strong,1
2023-08-08,600162,,14,58,115,strong,1
2023-08-08,600280,,14,56,115,strong,1
2023-08-08,000632,,14,56,115,strong,1
2023-08-08,000713,,14,61,115,strong,0
2023-08-09,000838,,14,71,115,choppy,1
2023-08-09,001979,,14,74,115,choppy,1
2023-08-09,002305,,14,59,115,choppy,1
2023-08-09,600376,,14,73,115,choppy,1
2023-08-09,601995,,14,94,115,choppy,1
2023-08-09,000958,,14,59,115,choppy,1
2023-08-09,600906,,14,88,115,choppy,1
2023-08-09,000062,,14,60,115,choppy,1
2023-08-09,600797,,14,64,115,choppy,1
2023-08-09,601212,,14,60,115,choppy,1
2023-08-09,600595,,14,73,115,choppy,1
2023-08-09,000007,,14,62,115,choppy,1
2023-08-09,600162,,14,56,115,choppy,1
2023-08-09,600280,,14,56,115,choppy,1
2023-08-10,601995,,14,89,115,strong,1
2023-08-10,000958,,14,59,115,strong,1
2023-08-10,600797,,14,58,115,strong,1
2023-08-10,600119,,14,68,115,strong,0
2023-08-10,001979,,14,62,115,strong,1
2023-08-10,600708,,14,58,115,strong,1
2023-08-10,002305,,14,58,115,strong,1
2023-08-10,600376,,14,68,115,strong,1
2023-08-10,000007,,14,63,115,strong,1
2023-08-10,600162,,14,57,115,strong,1
2023-08-10,002575,,14,57,115,strong,1
2023-08-10,600280,,13,66,115,strong,1
2023-08-10,600082,,14,56,115,strong,1
2023-08-10,600717,,14,56,115,strong,1
2023-08-10,600800,,14,56,115,strong,1
2023-08-10,000716,,7,55,115,strong,0
2023-08-11,600119,,14,59,115,choppy,1
2023-08-11,000838,,14,59,115,choppy,1
2023-08-11,001979,,14,59,115,choppy,1
2023-08-11,600708,,14,59,115,choppy,1
2023-08-11,002305,,14,59,115,choppy,1
2023-08-11,600376,,14,64,115,choppy,1
2023-08-11,600906,,14,74,115,choppy,1
2023-08-11,000007,,14,65,115,choppy,0
2023-08-11,600162,,14,58,115,choppy,1
2023-08-11,601212,,14,56,115,choppy,1
2023-08-11,600105,,14,56,115,choppy,1
2023-08-11,600595,,14,58,115,choppy,1
2023-08-14,001979,,14,69,115,choppy,1
2023-08-14,600708,,14,69,115,choppy,1
2023-08-14,600376,,14,59,115,choppy,1
2023-08-14,000007,,14,67,115,choppy,1
2023-08-14,600595,,14,57,115,choppy,1
2023-08-14,600797,,14,56,115,choppy,1
2023-08-14,300925,,14,62,115,choppy,1
2023-08-15,600595,,14,59,115,weak_reduced,1
2023-08-15,000007,,14,66,115,weak_reduced,1
2023-08-15,001979,,14,56,115,weak_reduced,1
2023-08-15,600376,,14,56,115,weak_reduced,1
2023-08-16,000007,,14,66,115,weak_reduced,1
2023-08-16,001979,,14,62,115,weak_reduced,1
2023-08-16,600376,,14,66,115,weak_reduced,1
2023-08-17,600906,,14,58,115,choppy,1
2023-08-17,601108,,14,64,115,choppy,1
2023-08-17,000007,,14,58,115,choppy,1
2023-08-17,002634,,14,77,115,choppy,1
2023-08-18,002634,,14,64,115,weak_reduced,1
2023-08-21,002634,,14,64,115,weak_reduced,1
2023-08-21,300385,,13,59,115,weak_reduced,0
2023-08-22,002634,,14,84,115,choppy,1
2023-08-22,301428,,14,94,115,choppy,1
2023-08-23,002634,,14,82,115,weak_reduced,1
