code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
600598,北大荒,龙头:600598,✗MACD | ✗ZJTJ,-0.3759,-0.3376,-0.0767,-4.44,28.29,32.58,19.7,✗,✗,✗,✗,✗,-1.2,0,-2.65,-3.66,-3.52,
300334,津膜科技,龙头:300334,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.3182,0.0831,0.4701,19.38,70.05,48.94,112.27,✓,✓,✓,✗,✓,4.12,2,37.82,41.78,30.68,
002326,永太科技,龙头:002326,✗MACD | ✓ZJTJ控盘 | ✓KDJ买入,-0.3862,-0.537,0.3014,0.93,60.51,44.09,93.35,✗,✓,✓,✗,✗,-0.91,0,4.42,9.56,3.8,
600655,豫园股份,龙头:600655,✗MACD | ✗ZJTJ,-0.0815,-0.0621,-0.0389,-4.22,22.29,32.1,2.67,✗,✗,✗,✗,✗,-0.67,0,-2.64,-5.76,-6.16,
688261,东微半导,龙头:688261,✗MACD | ✗ZJTJ,0.3148,2.0686,-3.5076,-8.4,22.88,32.14,4.36,✗,✗,✗,✗,✗,10.46,0,-11.34,-3.56,-10.86,
300917,特发服务,龙头:300917,✗MACD | ✗ZJTJ,-1.3669,-1.0517,-0.6303,-10.41,8.33,12.44,0.11,✗,✗,✗,✗,✗,-1.17,0,-4.27,-10.11,-9.42,
300556,丝路视觉,龙头:300556,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.109,0.029,-0.2759,-2.75,49.9,29.56,90.58,✗,✗,✓,✗,✗,4.44,0,13.73,8.08,-0.44,
300102,乾照光电,龙头:300102,✗MACD | ✗ZJTJ | ✓KDJ买入,-2.0219,-1.912,-0.2198,-11.89,22.7,20.96,26.17,✗,✗,✓,✗,✗,2.07,0,-3.9,-1.34,-9.71,
300631,久吾高科,龙头:300631,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.1086,-0.8873,-0.4427,-8.59,29.83,18.61,52.27,✗,✗,✓,✗,✗,4.91,0,4.47,1.77,-5.88,
002136,安 纳 达,龙头:002136,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.5285,-0.2577,-0.5415,-12.9,13.27,12.09,15.64,✗,✗,✓,✗,✗,0.67,0,-2.27,-9.47,-14.17,
600007,中国国贸,龙头:600007,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.1467,0.0565,0.1805,2.91,71.55,61.72,91.19,✓,✓,✓,✗,✓,0.58,2,6.42,2.71,5.02,
300387,富邦科技,龙头:300387,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.3285,-0.2795,-0.098,-7.79,16.31,15.85,17.22,✗,✗,✓,✗,✗,1.34,0,0.27,-3.08,-5.87,
600388,龙净环保,龙头:600388,✗MACD | ✗ZJTJ,-0.4995,-0.2114,-0.5761,-10.17,10.89,15.72,1.22,✗,✗,✗,✗,✗,1.16,0,-0.66,-6.64,-13.82,
300737,科顺股份,龙头:300737,✗MACD | ✗ZJTJ,0.1543,0.2399,-0.1713,-2.3,33.84,44.84,11.84,✗,✗,✗,✗,✗,-7.88,0,-22.85,-13.7,-11.73,
002373,千方科技,龙头:002373,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.44,-0.391,-0.0979,-9.86,12.9,10.66,17.38,✗,✗,✓,✗,✗,1.47,0,-0.39,-4.05,-11.45,
600846,同济科技,龙头:600846,✗MACD | ✗ZJTJ,-0.3551,-0.287,-0.1361,-6.29,25.38,30.08,16.0,✗,✗,✗,✗,✗,-0.18,0,-6.23,-2.83,-6.47,
000858,五 粮 液,龙头:000858,✗MACD | ✗ZJTJ,-3.8309,-3.915,0.1681,-6.05,9.37,15.6,-3.08,✗,✗,✗,✗,✗,-1.06,0,-2.45,-4.35,-5.1,
600313,农发种业,龙头:600313,✗MACD | ✗ZJTJ,-0.297,-0.3096,0.0251,-5.75,30.32,36.03,18.91,✗,✗,✗,✗,✗,-2.17,0,-6.39,-2.82,-4.09,
